Time,flow,reward,height
0,0.999992728233337,-0.16,5
0.1,0.999983668327332,-0.118169168540145,5.5770015617353
0.2,0.999963283538818,-0.0820667846117267,6.1527764879946
0.3,0.999899506568909,-0.0526479844502684,6.72737909290767
0.4,0.999521732330322,-0.0298713708951144,7.30083632952774
0.5,0.996167123317719,-0.0137001901970756,7.8730064929465
0.6,0.816272020339966,-0.00410457803710721,8.44214661142057
0.7,0.149638190865517,-0.00140868196356672,8.90246180703473
0.8,0.108078770339489,0.0410754256453271,8.96235758441325
0.9,0.088948555290699,0.049953699013661,8.99723853206191
1,0.0780080929398537,0.0499805282152952,9.02059280617162
1.1,0.0710286423563957,0.0499775710767691,9.03734941276345
1.2,0.0662738606333733,0.0499690865840089,9.04989398094679
1.3,0.0628916472196579,-4.03269158724896e-05,9.05956721605427
1.4,0.060412660241127,-4.93381808293398e-05,9.06719675154933
1.5,0.0585561767220497,-5.75417764598744e-05,9.073327470578
1.6,0.0571440458297729,-6.4861565225591e-05,9.07833505522571
1.7,0.0560573823750019,-7.13476311401314e-05,9.08248776084559
1.8,0.0552140437066555,-7.70953049137167e-05,9.08598212491309
1.9,0.0545555651187897,-8.22107294981971e-05,9.08896511365337
2,0.0540393963456154,-8.67960760659354e-05,9.0915483994942
2.1,0.0536336973309517,-9.09436820728281e-05,9.09381796049338
2.2,0.0533145740628242,-9.4733963749964e-05,9.09584054383546
2.3,0.053063653409481,-9.82357642184068e-05,9.09766846144877
2.4,0.0528668612241745,-0.000101507175540738,9.09934292375609
2.5,0.0527130216360092,-0.000104596989817233,9.10089663535433
2.6,0.0525936186313629,-0.000107545715289032,9.10235554665315
2.7,0.0525016710162163,-0.000110387203590783,9.10374045967148
2.8,0.0524317882955074,-0.000113149349809299,9.10506795670542
2.9,0.0523796454071999,-0.000115855309863901,9.10635136095422
3,0.0523418374359608,-0.000118524252817226,9.10760138065407
3.1,0.052315566688776,-0.000121172126780798,9.1088266650439
3.2,0.052298653870821,-0.000123812121979933,9.11003417180991
3.3,0.0522892624139786,-0.000126455261984602,9.11122954062075
3.4,0.0522860586643219,-0.000129110663868887,9.11241730077755
3.5,0.0522878207266331,-0.000131786100732923,9.11360117455246
3.6,0.0522937029600143,-0.000134488016899113,9.11478414552571
3.7,0.0523028634488583,-0.000137221991937567,9.1159686853751
3.8,0.0523148253560066,-0.000139992648211267,9.11715675695752
3.9,0.0523663721978664,-0.00014280414933335,9.11835003401756
4,0.0524352267384529,-0.000145717494384355,9.11957223938091
4.1,0.0524967201054096,-0.000148757381645937,9.12083370135185
4.2,0.0525522567331791,-0.00015191320878292,9.12212994208318
4.3,0.0526031255722046,-0.000155178932362158,9.1234573331107
4.4,0.0526548586785793,-0.000158550051954472,9.12481302471366
4.5,0.0527421720325947,-0.000162030648411138,9.12619748838324
4.6,0.0528197251260281,-0.000165681181808687,9.12763200720256
4.7,0.0528895109891891,-0.000169485636036925,9.12911064727004
4.8,0.0529532581567764,-0.000173435916443463,9.13062867934319
4.9,0.0530121885240078,-0.000177526045842683,9.13218241827839
5,0.0530673936009407,-0.000181751594668056,9.13376891757063
5.1,0.0531197600066662,-0.000186109601230539,9.13538588996455
5.2,0.0531698986887932,-0.000190598312597062,9.13703158353062
5.3,0.0532183349132538,-0.000195216792051263,9.1387046155133
5.4,0.0532713867723942,-0.000199964846599337,9.14040392035376
5.5,0.0534362643957138,-0.000204853582212952,9.14213222198865
5.6,0.0535790845751762,-0.000210090753793638,9.14395651279065
5.7,0.053704522550106,-0.000215632472751391,9.14586341093482
5.8,0.0538164414465427,-0.00022145812327526,9.14784235957235
5.9,0.053917832672596,-0.000227551997703464,9.14988513529257
6,0.0540111437439919,-0.000233902718299806,9.15198532166498
6.1,0.0540982559323311,-0.000240502547143187,9.15413798018514
6.2,0.0541807077825069,-0.000247346566465787,9.15633930836491
6.3,0.0542596019804478,-0.000254432250437983,9.15858643238815
6.4,0.0543360449373722,-0.000261758784397319,9.16087714427611
6.5,0.0544106885790825,-0.000269327247088914,9.1632099030203
6.6,0.0544841587543488,-0.000277139791247784,9.16558356101457
6.7,0.0545568950474262,-0.000285199720096554,9.16799734777194
6.8,0.054629310965538,-0.000293511168393778,9.17045075763551
6.9,0.0547523014247417,-0.000302079125012616,9.17294353370819
7,0.0551274381577969,-0.000311021436266615,9.17550593130212
7.1,0.055442251265049,-0.000320911521194732,9.17828899915741
7.2,0.0557111799716949,-0.000331613961000496,9.1812562097224
7.3,0.0559456497430801,-0.000343064112292024,9.18437975221407
7.4,0.0561541505157948,-0.000355213875623488,9.18763871145817
7.5,0.0563436150550842,-0.000368030234219996,9.19101729663787
7.6,0.056519091129303,-0.000381492989322999,9.19450389930006
7.7,0.0566846542060375,-0.000395591331708502,9.19808995638582
7.8,0.0568433441221714,-0.000410322453893224,9.20176936230462
7.9,0.0569974333047867,-0.000425689722639021,9.20553784401376
8,0.0571487508714199,-0.000441701364165655,9.2093924979298
8.1,0.0572986230254173,-0.000458369820047807,9.21333152190465
8.2,0.0574481040239334,-0.000475710811665641,9.21735391191138
8.3,0.0575980395078659,-0.000493742936913408,9.22145929769736
8.4,0.0577489845454693,-0.000512487355473255,9.2256478166757
8.5,0.057901494204998,-0.00053196718390369,9.22991993889169
8.6,0.0580558776855469,-0.000552207675669474,9.23427646647804
8.7,0.0582124888896942,-0.000573235638386348,9.23871838571156
8.8,0.0583715215325356,-0.000595079696444613,9.24324689351367
8.9,0.0585332438349724,-0.000617769900548603,9.24786330107439
9,0.0586977824568748,-0.000641338057027382,9.25256907833531
9.1,0.0588652156293392,-0.000665817360965379,9.25736576886619
9.2,0.0590357631444931,-0.000691242318485979,9.26225496071524
9.3,0.059209480881691,-0.000717649273516672,9.26723837120771
9.4,0.0593865253031254,-0.000745075927510845,9.2723177484718
9.5,0.0595668628811836,-0.000773561757438427,9.27749493169359
9.6,0.059750746935606,-0.000803147414458152,9.28277173707282
9.7,0.0599381662905216,-0.000833875801257425,9.28815012983359
9.8,0.0601291991770267,-0.000865791184719551,9.29363206541878
9.9,0.0603305846452713,-0.000898939600269891,9.29921954311257
10,0.0605577044188976,-0.000933394111901368,9.30491859919257
